domain_name,count,raw_ret1d,raw_ret5d,raw_ret20d,raw_ret60d,raw_ret125d,adj_ret1d,adj_ret5d,adj_ret20d,adj_ret60d,adj_ret125d
www.fireandknowledge.org,5,4.470,1.537,-1.236,-15.611,-41.426,,,,,
www.kiplinger.com,32,-1.420,-4.815,-1.841,2.976,-4.986,,,,,
www.dailyfinance.com,10,-0.502,-0.530,9.283,2.301,-12.752,,,,,
thewildinvestor.com,8,2.092,-1.474,-12.880,-3.877,4.651,,,,,
stock-pr.com,6,-1.152,-4.663,-2.596,0.962,18.840,,,,,
www.timothysykes.com,8,3.760,15.243,15.631,19.110,-22.755,,,,,
www.feedthebull.com,10,0.975,6.494,9.631,4.162,-4.806,,,,,
nowbuystocks.blogspot.com,10,0.710,4.218,9.293,11.487,25.084,,,,,
www.ndir.com,10,-1.472,-6.550,-7.779,-9.610,-15.141,,,,,
www.zacks.com,2,-1.587,0.747,0.326,2.571,-4.058,,,,,
