"stock_symbol","rec_date","direction","complete_url"
"CBI","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"GE","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"RIG","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"TSO","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"JEC","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"MOS","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"PHM","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"CHK","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"FLR","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"ADM","20081124","positive","http://www.investorplace.com/2008/11/top-10-stocks-for-2009/"
"AATI","20090609","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=4"
"AAV","20070925","positive","http://www.a1stockpicks.com/historyseptember2007.php"
"AB","20100426","positive","http://www.investorplace.com/2010/04/stock-upgrade-downgrade-are-ab-bac-bam-nyb-amtd-zion-amp-cs-gs-hcbk-mtu-ntrs-trow-ubs-wfc/"
"ABI","20070604","positive","http://www.a1stockpicks.com/historyjune2007.php"
"ABI","20070621","positive","http://www.a1stockpicks.com/historyjune2007.php"
"ABV","20100420","positive","http://www.investorplace.com/2010/04/stock-upgrades-bp-boeing-ba-credit-suisse-earnings/"
"ABVT","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"ACGL","20090714","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=3"
"ACH","20100419","negative","http://www.investorplace.com/2010/04/stock-downgrades-google-goog-lockheed-lmt-earnings-sony-sne/"
"ACL","20090804","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"ACMR","20071024","positive","http://www.a1stockpicks.com/historyoctober2007.php"
"ACV","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"ADI","20090609","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=4"
"ADI","20090723","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"ADM","20091001","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx"
"AEO","20090701","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=3"
"AEO","20090819","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"AEP","20070727","positive","http://www.a1stockpicks.com/historyjuly2007.php"
"AEP","20090614","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=4"
"AEP","20100405","positive","http://www.investorplace.com/2010/04/upgrades-boeing-ba-hitachi-hit-xerox-xrx-yum/"
"AET","20100412","negative","http://www.investorplace.com/2010/04/stock-downgrades-bac-ba-pc-tm/"
"AFFX","20070807","positive","http://www.a1stockpicks.com/historyaugust2007.php"
"AFG","20090714","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=3"
"AGN","20100419","negative","http://www.investorplace.com/2010/04/stock-downgrades-google-goog-lockheed-lmt-earnings-sony-sne/"
"AGU","20100419","negative","http://www.investorplace.com/2010/04/stock-downgrades-google-goog-lockheed-lmt-earnings-sony-sne/"
"AHL","20090714","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=3"
"AHS","20070412","positive","http://www.a1stockpicks.com/historyapril2007.php"
"AKAM","20071009","positive","http://www.a1stockpicks.com/historyoctober2007.php"
"ALE","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"ALK","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"ALTR","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"AMAT","20090723","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"AMD","20070419","positive","http://www.a1stockpicks.com/historyapril2007.php"
"AMD","20070511","positive","http://www.a1stockpicks.com/historymay2007.php"
"AMD","20070622","positive","http://www.a1stockpicks.com/historyjune2007.php"
"AMED","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"AMN","20090730","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"AMOV","20100420","positive","http://www.investorplace.com/2010/04/small-cap-stocks-upgrades-altr-hcbk-gold-wat-pre-mxim/"
"AMTD","20070823","positive","http://www.a1stockpicks.com/historyaugust2007.php"
"ANDE","20071217","positive","http://www.a1stockpicks.com/historydecember2007.php"
"ANDE","20091001","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx"
"ANN","20100510","positive","http://www.investorplace.com/2010/05/stock-upgrade-downgrade-macys-m-kohls-kss-home-depot-hd-jwn-urbn-rl-gps-lux-deck-josb-sks-cost-ltd-tjx/"
"ANR","20070830","positive","http://www.a1stockpicks.com/historyaugust2007.php"
"AON","20100419","negative","http://www.investorplace.com/2010/04/stock-downgrades-google-goog-lockheed-lmt-earnings-sony-sne/"
"APEI","20090512","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=5"
"APOG","20090730","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"APPB","20070614","positive","http://www.a1stockpicks.com/historyjune2007.php"
"ARAY","20090528","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=5"
"ARM","20071224","positive","http://www.a1stockpicks.com/historydecember2007.php"
"ARO","20090819","positive","http://www.synergeticstocks.com/category/Bullish-stocks.aspx?page=2"
"ARP","20071008","positive","http://www.a1stockpicks.com/historyoctober2007.php"
"ARUN","20071231","positive","http://www.a1stockpicks.com/historydecember2007.php"
