domain_name,count,raw_ret1d,raw_ret5d,raw_ret20d,raw_ret60d,raw_ret125d,adj_ret1d,adj_ret5d,adj_ret20d,adj_ret60d,adj_ret125d
www.quantitativeinvestment.com,81754,0.905,8.320,1.115,2.746,5.883,0.902,8.178,0.732,1.480,1.549
www.timothysykes.com,8,3.760,15.243,15.631,19.110,-22.755,3.936,7.770,10.679,13.927,-19.217
www.feedthebull.com,10,0.975,6.494,9.631,4.162,-4.806,1.579,6.692,8.375,4.074,0.664
list.moneysense.ca,121,2.605,8.740,11.097,10.349,-4.555,1.082,5.668,7.214,5.598,-6.717
www.helium.com,47,0.416,7.227,9.333,7.621,2.095,0.732,4.529,9.535,4.094,2.777
money.usnews.com,5,-0.322,8.735,-3.556,23.172,50.933,-0.269,3.563,11.586,19.627,31.454
investingpicks.com,698,1.065,2.584,-1.342,-6.234,-10.930,0.919,2.705,1.340,0.770,2.313
money.msn.com,5,-0.043,3.325,-2.388,-2.367,6.971,0.305,2.339,-1.964,-0.419,4.808
buysellholdyourstock.com,194,0.631,2.503,4.866,10.207,17.302,0.611,2.204,4.014,6.956,10.606
www.thefinancialblogger.com,2,0.553,-2.292,0.555,-2.116,10.509,1.019,2.157,11.970,12.257,14.306
www.activetrading-global.com,28984,1.226,2.653,3.270,3.430,3.628,0.921,2.043,2.543,2.627,2.917
mytradersjournal.com,8,2.374,0.430,-17.733,-14.785,-17.083,2.452,2.037,-10.717,-9.207,-10.312
www.dailymarkets.com,19,-1.753,-9.689,-7.757,-7.118,-6.622,0.746,1.913,4.412,6.187,4.965
crweselect.com,8,-0.420,2.664,3.043,12.330,8.779,0.466,1.892,1.228,8.931,8.315
www.tampabay.com,15,2.376,2.254,-4.345,-10.395,7.076,-0.785,1.536,4.221,2.416,4.853
bullstobears.com,277,0.925,1.708,3.384,4.560,5.650,0.710,1.361,2.672,4.051,5.129
www.stockpickr.com,62,0.622,1.558,-0.033,-0.444,-3.068,0.361,1.342,-0.446,-1.207,-4.930
www.bloggingstocks.com,185,0.604,0.095,-5.617,-4.166,-5.253,0.790,1.335,0.801,-0.783,0.687
www.fireandknowledge.org,5,4.470,1.537,-1.236,-15.611,-41.426,2.756,1.033,-2.151,-6.386,-2.693
thewildinvestor.com,8,2.092,-1.474,-12.880,-3.877,4.651,1.545,0.991,-6.776,0.788,11.072
www.jerrypettit.com,55,-0.296,0.277,-1.049,3.781,2.062,0.022,0.861,-0.348,7.313,8.288
online.barrons.com,97,0.331,0.703,-0.615,-3.236,-6.761,0.415,0.840,-0.243,-1.665,-3.590
www.topstocks4u.com,55,-0.519,0.920,3.101,-6.312,-5.870,-0.577,0.764,3.012,-5.339,-2.593
brian-krassenstein.blogspot.com,2,1.405,1.906,-7.916,2.161,-21.013,1.094,0.672,-5.297,-1.055,-11.268
moneymorning.com,21,0.095,-1.583,-6.247,-9.622,-6.946,-0.136,0.603,-0.733,2.957,5.962
www.synergeticstocks.com,465,-0.059,1.270,5.595,12.194,24.781,-0.305,0.533,2.460,2.608,4.803
www.investorguide.com,9548,0.300,0.535,1.144,1.809,1.117,0.291,0.533,0.973,1.398,1.143
www.makingmarketguru.com,139,0.441,0.628,4.214,-0.333,0.974,-0.064,0.500,4.670,2.434,5.677
finance.yahoo.com,18310,0.302,0.453,0.811,1.079,0.597,0.266,0.467,0.866,1.335,1.856
www.investorplace.com,264,0.091,-0.423,-1.927,-2.322,1.180,0.142,0.425,0.211,0.892,2.317
stocksandblogs.com,22,-0.038,-0.710,-0.247,9.292,17.841,0.574,0.425,3.578,8.005,13.402
www.traders-blog.com,3868,0.506,0.755,1.559,4.608,9.605,0.430,0.422,0.545,1.502,3.728
www.smartmoney.com,22197,0.160,0.289,0.522,0.256,-0.483,0.165,0.328,0.701,1.169,2.263
madmoneyfund.blogspot.com,10,-0.568,-4.129,-7.520,-8.615,-0.144,-0.101,0.320,3.895,5.758,3.652
www.onlinetradersforum.com,41942,0.332,0.249,0.352,0.544,-0.975,0.347,0.310,0.580,1.046,0.480
www.fastmoneystockpicks.com,7552,0.307,0.092,0.097,0.482,-1.662,0.337,0.298,0.728,1.928,2.927
www.zacks.com,208,-0.457,-0.224,0.603,1.088,-3.103,-0.230,0.256,1.794,3.460,3.254
nseonlinetrading.blogspot.com,1,-0.889,0.825,1.333,-36.157,-62.426,-0.007,0.235,-1.437,-25.869,-30.604
www.gainerstoday.com,4370,0.144,-0.156,-0.416,-0.926,-0.163,0.140,0.211,0.414,0.993,2.836
www2.barchart.com,2687,0.268,1.439,7.728,23.111,28.107,-0.028,0.184,2.188,5.002,1.625
caps.fool.com,360180,0.039,-0.056,-0.012,1.327,3.121,0.049,0.149,0.576,2.523,5.418
stockbreakouttrading.com,5358,0.144,0.124,1.136,0.030,5.083,0.138,0.137,0.645,0.734,2.577
www.gurufocus.com,34257,-0.012,0.116,0.443,0.462,0.125,-0.044,0.049,0.274,0.235,0.363
www.dailyfinance.com,10,-0.502,-0.530,9.283,2.301,-12.752,-0.870,0.039,5.234,-1.624,-11.777
www.shortterm.com,27508,0.092,0.188,0.038,0.212,-0.381,0.014,0.033,-0.057,-0.013,-0.190
shockedinvestor.blogspot.com,40,0.017,0.003,-1.162,2.106,3.000,0.017,0.003,-1.162,2.106,2.946
images.businessweek.com,16,-1.116,-0.005,2.615,5.451,2.311,-0.561,0.001,-0.219,2.231,2.210
247wallst.com,124,1.241,0.381,-3.051,-0.327,-4.555,0.965,-0.039,-0.570,-0.960,2.111
www.earnings-splits-ipo.com,1055,0.127,-0.466,0.189,0.601,-3.364,0.126,-0.089,1.031,3.003,1.990
www.fxfisherman.com,1789,0.013,-0.213,-0.701,-1.076,-0.980,0.090,-0.175,-0.520,-0.880,-1.409
www.intelligentspeculator.net,83,-0.075,-0.002,0.919,7.530,13.695,-0.228,-0.180,2.553,3.564,15.538
www.affordablestock.com,730,0.061,-0.209,0.845,1.418,11.015,0.042,-0.181,1.144,2.602,12.915
nowbuystocks.blogspot.com,10,0.710,4.218,9.293,11.487,25.084,-0.215,-0.190,1.568,-0.168,-4.510
www.money-zine.com,25,0.025,-1.480,-0.761,0.968,3.477,0.007,-0.262,2.165,4.799,5.370
www.a1stockpicks.com,1051,-0.058,-0.508,-1.428,-2.878,-2.829,-0.046,-0.369,-0.840,-1.399,0.094
www.socialpicks.com,34747,-0.041,-0.627,8.247,0.272,-0.440,-0.015,-0.384,8.695,1.059,1.421
www.thestreet.com,206,0.092,-0.672,-1.448,-0.604,4.207,-0.036,-0.477,-1.313,-0.561,0.880
seekingalpha.com,93,-0.196,-0.471,-1.364,0.190,12.576,0.333,-0.483,2.151,4.812,14.699
www.fool.com,111,-0.106,0.551,-3.774,-5.181,0.013,-0.125,-0.550,-0.538,-0.538,3.791
www.cnbc.com,68,-1.941,-0.902,-3.094,-7.172,-7.665,-0.278,-0.562,-0.184,-2.033,2.012
www.10stockstobuy.com,32,0.620,-0.068,2.415,15.631,28.691,0.090,-0.716,-1.367,5.652,6.606
www.philstockworld.com,112,-0.217,-2.619,-0.947,-3.126,4.795,-0.140,-1.038,-1.617,-4.585,0.238
ceoworld.biz,36,0.289,-0.236,-3.751,6.243,-6.227,0.056,-1.086,-0.878,2.892,3.456
zachstocks.com,13,2.175,-1.797,-10.152,-15.919,4.658,1.815,-1.102,-4.114,-8.583,1.215
www.peopleandpicks.com,27693,-0.241,-2.420,-3.488,-6.388,-5.222,-0.170,-1.134,-0.845,-0.925,1.696
www.ndir.com,10,-1.472,-6.550,-7.779,-9.610,-15.141,-0.028,-1.227,-0.114,0.819,-2.314
drstockpick.com,12,1.029,-1.075,-0.336,-0.778,11.910,0.199,-1.369,-2.367,-1.866,5.951
www.gusherstocks.com,57,1.233,-1.214,-2.099,-6.237,16.211,0.736,-1.556,-0.461,-1.015,22.960
thestockmasters.com,4,-3.015,-1.587,14.074,8.104,18.468,-0.325,-1.563,10.683,-1.664,0.749
www.kiplinger.com,32,-1.420,-4.815,-1.841,2.976,-4.986,-0.738,-1.587,1.126,5.005,0.047
money.cnn.com,78,-1.646,-4.325,-3.492,-0.152,3.406,-0.961,-1.753,0.506,4.683,5.252
www.forbes.com,44,-2.420,-2.060,-4.737,-2.512,-10.275,-0.585,-2.065,0.879,0.797,1.297
