domain_name,count,raw_ret1d,raw_ret5d,raw_ret20d,raw_ret60d,raw_ret125d,adj_ret1d,adj_ret5d,adj_ret20d,adj_ret60d,adj_ret125d
www.timothysykes.com,8,3.760,15.243,15.631,19.110,-22.755,3.936,7.770,10.679,13.927,-19.217
www.feedthebull.com,10,0.975,6.494,9.631,4.162,-4.806,1.579,6.692,8.375,4.074,0.664
www.fireandknowledge.org,5,4.470,1.537,-1.236,-15.611,-41.426,2.756,1.033,-2.151,-6.386,-2.693
thewildinvestor.com,8,2.092,-1.474,-12.880,-3.877,4.651,1.545,0.991,-6.776,0.788,11.072
www.dailyfinance.com,10,-0.502,-0.530,9.283,2.301,-12.752,-0.870,0.039,5.234,-1.624,-11.777
nowbuystocks.blogspot.com,10,0.710,4.218,9.293,11.487,25.084,-0.215,-0.190,1.568,-0.168,-4.510
www.ndir.com,10,-1.472,-6.550,-7.779,-9.610,-15.141,-0.028,-1.227,-0.114,0.819,-2.314
www.kiplinger.com,32,-1.420,-4.815,-1.841,2.976,-4.986,-0.738,-1.587,1.126,5.005,0.047
stock-pr.com,6,-1.152,-4.663,-2.596,0.962,18.840,-0.930,-2.545,-2.970,-4.216,8.470
www.zacks.com,2,-1.587,0.747,0.326,2.571,-4.058,-1.114,-3.079,-1.430,2.259,-3.763
